method,replica,fitness
max,1,0.13425538090183933
max,2,0.5376414816838496
max,3,-2.350213572607877
max,4,0.03370538205429269
max,5,1.6797346277322578
max,6,1.5796868717810237
max,7,-0.04869206830152249
max,8,-0.2882846689233852
max,9,-1.1295096791229922
max,10,1.9879685856194718
max,11,0.6841640968364949
max,12,0.9621990084854122
max,13,1.0997345196345374
max,14,-1.606626514907049
max,15,0.8049472703308915
max,16,-2.244307847713068
max,17,-0.38346293989355545
max,18,0.831120282826534
max,19,2.367467976243172
max,20,-0.04470757599622919
max,21,3.49080287198092
max,22,-0.32216566182643114
max,23,1.7442902747202398
max,24,0.36223401266855154
max,25,3.04402320172268
max,26,0.008789687041686858
max,27,2.9394722989636746
max,28,1.1301746845119722
max,29,1.7199789856830008
max,30,1.873635013471089
max,31,0.5708474048290173
max,32,2.078837429666537
max,33,2.6154338855129966
max,34,0.6311135488607099
max,35,1.4690341907748785
max,36,3.879348646229509
max,37,2.87182061740293
max,38,1.0105127911672782
max,39,0.8042394119073536
max,40,-1.1511157293008656
max,41,1.5317569745151007
max,42,-0.00926813399792834
max,43,1.2395663055576736
max,44,2.4853106840651766
max,45,1.2648261149115942
max,46,1.9650280524766481
max,47,-0.05224505862330487
max,48,-3.516187933451687
max,49,-0.33813030820355844
max,50,0.1495770814992359
avg,1,0.2423466386496706
avg,2,3.236544814477349
avg,3,0.7493541171777096
avg,4,-1.7797928212482443
avg,5,1.1679875001264066
avg,6,-1.4016239891248519
avg,7,-0.7941994057088662
avg,8,2.8667118918424146
avg,9,-0.8260605006253001
avg,10,1.8184907264397137
avg,11,-1.8712408317004432
avg,12,-0.6875124861306343
avg,13,1.6990228810788104
avg,14,2.563925340603971
avg,15,0.8249420897566537
avg,16,1.6568798161291305
avg,17,-1.6776665647601416
avg,18,-0.12993575190206225
avg,19,-1.1451143462578157
avg,20,0.3750090289224877
avg,21,0.42687266603794366
avg,22,0.24032584101089283
avg,23,-3.226782223224054
avg,24,-1.8115652887537563
avg,25,0.23424122464303263
avg,26,0.8026903112831082
avg,27,2.548057656423228
avg,28,-0.10007790229707474
avg,29,0.11882120893538595
avg,30,0.12515138968017608
avg,31,0.8869985580469063
avg,32,-0.48334469576672284
avg,33,1.1021194769287839
avg,34,-0.3520610402264922
avg,35,1.0739040190556168
avg,36,-0.14213201836646458
avg,37,-0.8043811165041843
avg,38,0.5634341149620712
avg,39,0.05783623895358643
avg,40,1.5272508978939388
avg,41,0.16775034110668066
avg,42,-1.583189905582463
avg,43,1.3248066831746006
avg,44,-1.9965677893346139
avg,45,0.19150951984644857
avg,46,0.6612306817651942
avg,47,-0.13414015044166291
avg,48,-1.9569131124559362
avg,49,2.7500920787831022
avg,50,-0.3900344993941557
