method,replica,fitness
max,1,1.1042498538955645
max,2,0.45062069847696495
max,3,0.8209277812960687
max,4,-0.5549644822437837
max,5,-0.9064231329438657
max,6,0.5024180056467733
max,7,-1.6199464910163641
max,8,1.373121655883329
max,9,0.42874920425696633
max,10,0.40347925558706127
max,11,1.0031655255833303
max,12,0.6331647472093008
max,13,0.4892118971865574
max,14,1.7276676049529969
max,15,0.4480371445256116
max,16,-0.4199162692390644
max,17,0.1014226828230813
max,18,-2.390922493757689
max,19,0.9534577583808765
max,20,-1.1849098326943623
max,21,0.35205664767336226
max,22,1.7082677440244862
max,23,-0.22137536674172426
max,24,-0.7665437383661169
max,25,-0.21413846944982087
max,26,0.019026017702887192
max,27,-1.7934421347571403
max,28,-1.0498849350983142
max,29,-0.16752376691913495
max,30,0.9690354787057153
max,31,0.9088946323724694
max,32,1.0335211993860585
max,33,-0.14335589406869534
max,34,1.154507249229599
max,35,0.563360143384633
max,36,0.0753779130966803
max,37,1.485090180711761
max,38,0.15649406963123805
max,39,-0.795902370894963
max,40,-0.6152436600377563
max,41,1.358390291209001
max,42,-0.17756099445002507
max,43,0.8118652633231541
max,44,1.1370237611820788
max,45,1.3079372916512477
max,46,-0.4099973046853767
max,47,1.1048343077417444
max,48,0.7431796320245093
max,49,-0.34135964271088065
max,50,-0.2948433472844485
avg,1,-1.1428056049961963
avg,2,-0.8275127823677737
avg,3,-1.0061776969063028
avg,4,-0.6189549103375371
avg,5,0.4106017077777394
avg,6,-1.117195907420148
avg,7,0.23794484898809293
avg,8,1.6685566315016964
avg,9,0.051969251443489344
avg,10,0.9036782986101377
avg,11,1.4894193978056105
avg,12,-0.3766186942432772
avg,13,0.2509206638638529
avg,14,2.753121942122635
avg,15,0.3903429205245284
avg,16,-0.4628099411742921
avg,17,-0.6056709339410602
avg,18,-0.6646996644780047
avg,19,1.604568185822259
avg,20,0.8728751897998566
avg,21,0.4504090518483954
avg,22,-0.6505007877727736
avg,23,0.8010577909114844
avg,24,-1.2263712691723827
avg,25,-2.2546365310829453
avg,26,-1.0906157794508964
avg,27,0.20966731942789896
avg,28,-0.022585022324142022
avg,29,-0.0963724898196083
avg,30,-0.16675813326169825
avg,31,-0.27394280549543687
avg,32,0.628216386114244
avg,33,-0.9382143613983465
avg,34,-0.8506551913830716
avg,35,-0.02507575171923728
avg,36,-0.7676800036565684
avg,37,0.2877607718381663
avg,38,-0.815012944605428
avg,39,1.0609063463805135
avg,40,0.1876165324625717
avg,41,-1.2095038366732023
avg,42,-2.5535831927917823
avg,43,-1.1178339186695916
avg,44,0.45262597072830135
avg,45,0.8325243319432867
avg,46,0.09130758660478865
avg,47,2.52297805374273
avg,48,-0.03652040412400104
avg,49,-0.381225862705873
avg,50,1.3304708934024072
