method,replica,fitness
max,1,1.3667015443439703
max,2,1.2803267715697653
max,3,2.61426613806618
max,4,2.3535015862015873
max,5,2.608063711885104
max,6,-0.32300083263564433
max,7,-0.810449099560178
max,8,1.06218309296938
max,9,0.7624280544398494
max,10,0.17409059069019955
max,11,0.9510474933819805
max,12,-0.5411001723977862
max,13,2.8490335999551277
max,14,1.3629902188883227
max,15,0.17287079971737404
max,16,0.1949935677337935
max,17,-0.8019169073996981
max,18,0.927681264224581
max,19,0.3001493177188402
max,20,1.0446229025059748
max,21,0.3750936816480449
max,22,-0.5726196120216304
max,23,0.6227638497740005
max,24,1.6553480018517526
max,25,1.223595383021571
max,26,0.5492403187425146
max,27,1.7200968137214976
max,28,1.1613184691933784
max,29,1.5852230584425242
max,30,1.2634964007388532
max,31,0.6463035390799496
max,32,-3.3499989799286922
max,33,1.1409564591328512
max,34,1.8497285062365496
max,35,1.1530931281745558
max,36,0.7033265646939352
max,37,0.5917639397417875
max,38,0.6462813435694353
max,39,1.733830255486698
max,40,3.1494112860071866
max,41,4.901020608171836
max,42,1.7709460702968045
max,43,0.7989751303193899
max,44,1.3997814180793213
max,45,-0.6248906339991233
max,46,0.9527980765603277
max,47,0.34590271322702787
max,48,2.21163267183641
max,49,7.703038743800201
max,50,3.0632454284007187
avg,1,0.4629645998209539
avg,2,-0.8500505046924373
avg,3,1.3717614830541214
avg,4,0.627325154714771
avg,5,0.31797115720747277
avg,6,-0.42682023417155035
avg,7,-0.492245810723078
avg,8,1.308458168592461
avg,9,-0.8979289480302258
avg,10,0.12734128821275634
avg,11,0.5074924929627919
avg,12,-0.475415831430253
avg,13,-0.3238292220635768
avg,14,-0.3907420152970458
avg,15,-1.5766267469423099
avg,16,-0.7662121075623872
avg,17,0.7991951609677409
avg,18,0.27377221910482946
avg,19,0.5093972976485321
avg,20,0.589626268563631
avg,21,0.825105352533208
avg,22,-0.07631908119753147
avg,23,0.62445263299683
avg,24,1.162927244714955
avg,25,-0.1821634218752639
avg,26,-0.7410608255719424
avg,27,0.6267906627345493
avg,28,-0.9538093906504685
avg,29,2.4916392763147335
avg,30,-1.502794926409491
avg,31,0.6627738459812184
avg,32,0.48552268464649534
avg,33,-1.2328291069417723
avg,34,-0.2346052970169529
avg,35,-0.28834217396908146
avg,36,-0.6802311455326854
avg,37,2.8426861424368695
avg,38,-0.08662270874927024
avg,39,3.344366281350551
avg,40,-0.2030465102363047
avg,41,0.13628878239085704
avg,42,0.32830374089673947
avg,43,-1.2925994394504678
avg,44,0.41094854738957043
avg,45,-0.3574496972302745
avg,46,1.0036979332647478
avg,47,1.7967707887797626
avg,48,0.8066022596616569
avg,49,1.2730457135374633
avg,50,0.4813710447259529
