method,replica,fitness
max,1,0.21523846641345135
max,2,-0.2766374530281163
max,3,5.829243433425509
max,4,1.3560277586877736
max,5,1.2668058025869766
max,6,-0.07916724378429618
max,7,0.7919094540719024
max,8,7.094156703409149
max,9,1.0258714231986874
max,10,5.06294343238025
max,11,0.6536135123787651
max,12,3.796853009238092
max,13,0.845320544679612
max,14,3.350807336640311
max,15,0.434069311957252
max,16,4.026830178038255
max,17,6.375778078209836
max,18,0.44496025470182005
max,19,0.33359391830471385
max,20,1.7192735232611387
max,21,1.0561306843375255
max,22,2.0631734900846364
max,23,-0.3171736088197941
max,24,0.6697036748544112
max,25,0.42283581642699114
max,26,-0.7222678209930918
max,27,-0.7867114533308781
max,28,0.5224518853120359
max,29,-1.590019078295412
max,30,0.8606405569752981
max,31,0.1219992903578819
max,32,0.06922721075654029
max,33,0.4443206021852538
max,34,2.2637366793136398
max,35,1.8437834798196855
max,36,0.4013292115368149
max,37,2.8352285639723007
max,38,1.513053042922516
max,39,-0.7473130813123198
max,40,1.0561084721039669
max,41,2.87364980859673
max,42,0.4972677881837713
max,43,-0.5514793639974319
max,44,1.0788234070316487
max,45,0.7305914107093933
max,46,0.36810230037021535
max,47,11.775861841161264
max,48,4.391246222929615
max,49,0.629699656632364
max,50,-0.5901736513600901
avg,1,-0.027578308595673943
avg,2,6.733768077797522
avg,3,4.453002490792702
avg,4,4.543288329980709
avg,5,1.9874747626222915
avg,6,-1.5825090463590108
avg,7,-0.0761926689596812
avg,8,1.6139114518908082
avg,9,1.0802710993511662
avg,10,0.20472805036433459
avg,11,-0.4049749973380835
avg,12,-0.16796826559662015
avg,13,6.210927977049172
avg,14,1.5314890153268954
avg,15,-1.8628650036920111
avg,16,0.21778883433006715
avg,17,0.8126110105250344
avg,18,1.1483508782392993
avg,19,0.2192897917826833
avg,20,0.09762009862642448
avg,21,-0.7219302190397214
avg,22,4.420029353947912
avg,23,0.28489381255669155
avg,24,6.690150073761124
avg,25,-0.905356612741125
avg,26,-1.4338840497845693
avg,27,-0.6241755883620546
avg,28,2.126708497029506
avg,29,0.4409066149443737
avg,30,-0.13512010607494102
avg,31,0.536222790203873
avg,32,-0.559750099919536
avg,33,6.145969234434103
avg,34,-0.35235266224159756
avg,35,-0.4232553544180649
avg,36,1.096065725935702
avg,37,-0.8150652165631738
avg,38,-1.0106971067084962
avg,39,0.10618276367203297
avg,40,-2.5954214954361183
avg,41,0.4448874020531387
avg,42,1.6908499769779926
avg,43,3.1448128090689917
avg,44,4.69339765896239
avg,45,0.763273305658742
avg,46,-0.4907478343367191
avg,47,-0.24949433884481823
avg,48,-0.8082122621001311
avg,49,-0.6073757012616116
avg,50,-0.6046252935166141
