method,replica,fitness
max,1,0.599998806686079
max,2,1.4058267418676496
max,3,-0.1068257842026079
max,4,0.13393267027273137
max,5,0.3267789157641799
max,6,0.9719820406598859
max,7,1.1875119269926326
max,8,0.5694733607104884
max,9,0.32173800349841186
max,10,0.8741470526709981
max,11,0.1642293242602918
max,12,0.8329211091947485
max,13,0.38564296286970967
max,14,1.462562857014416
max,15,1.815628964505472
max,16,0.5043688144619589
max,17,0.9243351989266012
max,18,2.23158294516129
max,19,1.489880359242379
max,20,0.9844511869061978
max,21,1.1036910237817348
max,22,0.6470962894238187
max,23,1.1504395271500905
max,24,2.14407232262397
max,25,0.49269600539956243
max,26,0.2741805886853099
max,27,0.03227019051729303
max,28,0.2907351028413356
max,29,1.0335719647540673
max,30,0.8960520627509758
max,31,1.754105316480589
max,32,-0.030668703304081044
max,33,0.718755341624709
max,34,1.6999111532838695
max,35,0.34128326287110333
max,36,1.6199773333232446
max,37,1.8080580704263314
max,38,0.23854263728083744
max,39,1.6386519426341595
max,40,1.391850626658328
max,41,2.361164733472691
max,42,1.2899488343323864
max,43,0.4553749949400385
max,44,0.939666699298153
max,45,1.5537413892953544
max,46,1.483711874496795
max,47,1.4735055324255182
max,48,0.3223149813479122
max,49,0.5702941466836947
max,50,0.34231484339444856
avg,1,0.853378743343077
avg,2,0.8124555659578676
avg,3,-0.38964103742315703
avg,4,0.9307115757480848
avg,5,0.0933107273213923
avg,6,2.5277170843442436
avg,7,0.343472163718629
avg,8,1.946972488920323
avg,9,1.2458736429971395
avg,10,0.1543506228396504
avg,11,0.4770397903061917
avg,12,0.6285219914346398
avg,13,-0.2696886602381284
avg,14,0.5336468281405422
avg,15,0.5709453411631656
avg,16,0.7494320601232292
avg,17,1.2627534683861121
avg,18,0.18374817562411128
avg,19,0.368631492436859
avg,20,0.4151198371118408
avg,21,-0.039744444237997945
avg,22,1.1944436588089844
avg,23,2.374122731288095
avg,24,1.2420248729136076
avg,25,1.3792085463302457
avg,26,0.18469586926309994
avg,27,-0.22227799472130527
avg,28,1.2690454180706296
avg,29,1.524883621303434
avg,30,0.17547353430458734
avg,31,0.3311361626399669
avg,32,0.048055426631456316
avg,33,1.1746439231271224
avg,34,-0.5984410055377178
avg,35,-0.5055744435908651
avg,36,1.0338897095944093
avg,37,0.016717447017680534
avg,38,1.2441508052118286
avg,39,2.9598522895046293
avg,40,-0.9673169561118183
avg,41,-2.293453712207686
avg,42,-0.22184916457018988
avg,43,-0.19024960029924784
avg,44,0.39981084221059765
avg,45,3.2429153061891887
avg,46,0.9053971327762969
avg,47,0.6356522524511962
avg,48,-0.44380250883425804
avg,49,-0.37972599930313833
avg,50,0.7268834563139671
