method,replica,fitness
max,1,0.27078723218862727
max,2,-2.24091132240826
max,3,3.544316463541522
max,4,0.4933222440830935
max,5,1.0713703809560822
max,6,-0.10647827141735515
max,7,0.49045462555811076
max,8,-0.0329442670064487
max,9,-0.0702764541965908
max,10,3.2897788387666447
max,11,0.4476693935556947
max,12,-0.8211642869846298
max,13,-0.10148629471804013
max,14,1.9334150934123664
max,15,-0.11131382753028307
max,16,1.557316631981916
max,17,0.3520118009874604
max,18,0.38437251699220515
max,19,0.06569689719042975
max,20,3.67901386638228
max,21,0.623282344445419
max,22,-1.2342613612356208
max,23,0.3492396018465234
max,24,1.0490980200366162
max,25,2.528566712083329
max,26,0.7197944878824373
max,27,0.18723316674016066
max,28,2.4541335671327396
max,29,4.977970761041785
max,30,0.8905087600770578
max,31,0.8786174518449845
max,32,0.9656291259186209
max,33,-0.11832799298095607
max,34,0.4900448522048181
max,35,-1.3648095305971055
max,36,2.5004601679489187
max,37,-1.5761152922208697
max,38,0.035022638554105985
max,39,1.0806332050694074
max,40,1.5574567805777215
max,41,0.859233958134201
max,42,-0.6392246992717149
max,43,-0.05672711069834626
max,44,5.411150104207238
max,45,1.145306762891464
max,46,0.6994926835533871
max,47,-2.197570774273856
max,48,0.8400944320323299
max,49,-0.7624917981073523
max,50,0.9939981637089528
avg,1,2.5336052373292066
avg,2,1.4762786004161423
avg,3,-0.04581993507732888
avg,4,2.2714402562026814
avg,5,-0.6300672609973912
avg,6,1.6895432782497133
avg,7,0.8972742892765367
avg,8,0.7592171325196982
avg,9,0.7915349487218618
avg,10,1.8368681624426628
avg,11,-0.5419520659282168
avg,12,-0.28826817017246525
avg,13,2.4357993263323903
avg,14,-0.8081285722215616
avg,15,0.23270032703401652
avg,16,-1.1568866546725014
avg,17,1.7702874167886258
avg,18,-1.1217805084353942
avg,19,-0.21321718443400495
avg,20,-1.7380493871034437
avg,21,-0.04715937459464814
avg,22,1.3157496785646814
avg,23,-1.1847003473816704
avg,24,-2.0053154682062773
avg,25,-0.4614740946865583
avg,26,-0.45457612479710785
avg,27,0.5195252098865373
avg,28,4.0525313208970974
avg,29,-1.4701783069014527
avg,30,2.6085871543446943
avg,31,0.05844096030860202
avg,32,-1.8929211222434301
avg,33,2.966518495566069
avg,34,0.03962613589820018
avg,35,-0.23689309497359137
avg,36,-2.3689868444955113
avg,37,-1.9945460505300785
avg,38,-0.9968404725636528
avg,39,2.228568328819534
avg,40,-0.924957765394697
avg,41,-0.49778714509538896
avg,42,1.5799161833140503
avg,43,1.2717594825478462
avg,44,0.2846552531000564
avg,45,1.8778496732349754
avg,46,1.7627575129349238
avg,47,-0.8828843021714308
avg,48,-0.17101493248621155
avg,49,-1.2762023133220726
avg,50,-0.39257171029974297
